POPULATION,COUNTYFIPS,LATITUDE,LONGITUDE,NAME,ADDRESS,CITY,STATE,COUNTY,ZIP,TELEPHONE,TYPE,STATUS,SOURCE,WEBSITE,OWNER,TOTAL_BEDS_IN_COUNTY,MARKET_SHARE,PROVIDERNUMBER,TOTAL_HOSPITAL_BEDS,ICU_HOSPITAL_BEDS,CONFIRMED_CASES_STATE,DEATHS_STATE,RECOVERED_STATE,COUNTY_CASES,PATIENTS
178550,10001,39.1507908,-75.52369592,BAYHEALTH KENT GENERAL HOSPITAL,640 S STATE ST,DOVER,DE,KENT,19901,(302) 674-4700,GENERAL ACUTE CARE,OPEN,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.bayhealth.org/Home/Facilities/tabid/57/tabid/90/default.aspx,NON-PROFIT,236.0,1.0,,236.0,,19.0,0.0,0.0,3,3.0
559335,10003,39.74986894,-75.56687351,ST. FRANCIS HOSPITAL,701 N CLAYTON ST,WILMINGTON,DE,NEW CASTLE,19805,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.stfrancishealthcare.org,NON-PROFIT,1578.0,0.14195183776932827,,224.0,,19.0,0.0,0.0,23,3.2648922686945503
559335,10003,39.77938092,-75.55532113,ALFRED I. DUPONT HOSPITAL FOR CHILDREN,1600 ROCKLAND RD,WILMINGTON,DE,NEW CASTLE,19803,(302) 651-4000,GENERAL ACUTE CARE,OPEN,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.nemours.org/about/location/nchaidhc.html,NON-PROFIT,1578.0,0.1267427122940431,,200.0,,19.0,0.0,0.0,23,2.9150823827629915
559335,10003,39.68748604,-75.66912143,CHRISTIANA CARE-CHRISTIANA HOSPITAL,4755 OGLETOWN STANTON RD,NEWARK,DE,NEW CASTLE,19713,(302) 733-1000,GENERAL ACUTE CARE,OPEN,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.christianacare.org/ChristianaHospital,NON-PROFIT,1578.0,0.5785804816223067,,913.0,,19.0,0.0,0.0,23,13.307351077313054
559335,10003,39.7514639,-75.5496618,CHRISTIANA CARE-WILMINGTON HOSPITAL,501 W 14TH ST,WILMINGTON,DE,NEW CASTLE,19801,(302) 320-2229,GENERAL ACUTE CARE,OPEN,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.christianacare.org/homepage.cfm,NON-PROFIT,1578.0,0.15272496831432192,,241.0,,19.0,0.0,0.0,23,3.512674271229404
229286,10005,38.64168815,-75.60448633,NANTICOKE MEMORIAL HOSPITAL,801 MIDDLEFORD RD,SEAFORD,DE,SUSSEX,19973,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.nanticoke.org/,NON-PROFIT,476.0,0.2920168067226891,80006.0,139.0,9.0,19.0,0.0,0.0,4,1.1680672268907564
229286,10005,38.77176047,-75.14326767,BEEBE MEDICAL CENTER,424 SAVANNAH RD,LEWES,DE,SUSSEX,19958,(302) 645-3300,GENERAL ACUTE CARE,OPEN,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.beebemed.org/index.cfm,NON-PROFIT,476.0,0.4411764705882353,80007.0,210.0,,19.0,0.0,0.0,4,1.7647058823529411
229286,10005,38.90704797,-75.4329078,BAYHEALTH MILFORD MEMORIAL HOSPITAL,21 W CLARK AVE,MILFORD,DE,SUSSEX,19963,(302) 422-3311,GENERAL ACUTE CARE,OPEN,http://www.dhss.delaware.gov/dhss/dltcrp/ohflcmain.html,http://www.bayhealth.org/milford-memorial-hospital/BayhealthContentPage.aspx?nd=946,NON-PROFIT,476.0,0.2668067226890756,,127.0,,19.0,0.0,0.0,4,1.0672268907563025
269956,12001,29.63999013,-82.34286482,SHANDS HOSPITAL,1600 SW ARCHER RD,GAINESVILLE,FL,ALACHUA,32610,(352) 265-0002,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,https://ufhealth.org/uf-health-shands-hospital,NON-PROFIT,1378.0,0.6865021770682148,,946.0,,314.0,7.0,0.0,10,6.865021770682148
269956,12001,29.66061304,-82.41216616,NORTH FLORIDA REGIONAL MEDICAL CENTER,6500 NEWBERRY RD,GAINESVILLE,FL,ALACHUA,32605,(352) 333-4000,GENERAL ACUTE CARE,OPEN,http://www.floridahealthfinder.gov/facilitylocator/facilitysearch.aspx,http://www.nfrmc.com,PROPRIETARY,1378.0,0.3134978229317852,100204.0,432.0,,314.0,7.0,0.0,10,3.134978229317852
